Ship_type,Size_category,Unit,Ship_2030_ex,Ship_2030,Ship_2050,DWT,Installed_Power_(KW),Design_Speed_(knots),Service_Speed_(knots),Days_at_sea,SFOC_LSFO_(g/KWh),SFOC_LNG_(g/KWh),SFOC_Hydrogen_(g/KWh),SFOC_Biodiesel_(g/KWh),SFOC_Methanol_(g/KWh),Main,Auxiliary,Boiler,consumption_HFO_(tonnes),consumption_HFO_(tonnes)_IMO,error,consumption_LSFO_(tonnes),consumption_LNG_(tonnes),consumption_Hydrogen_(tonnes),consumption_Biodiesel_(tonnes),consumption_Methanol_(tonnes),CAPEX_LNG_($/KW),CAPEX_Hydrogen_($/KW),CAPEX_Biodiesel_($/KW),CAPEX_Methanol_($/KW),payback_10,payback_5,2030_price_LSFO_($/ton),2030_price_LNG_($/ton),2030_price_Hydrogen_($/ton),2030_price_Biodiesel_($/ton),2030_price_Methanol_($/ton),2050_price_LSFO_($/ton),2050_price_LNG_($/ton),2050_price_Hydrogen_($/ton),2050_price_Biodiesel_($/ton),2050_price_Methanol_($/ton)
bulk carrier,"0-9,999",dwt,373,601.48145208924,853,3812,1636,11.6,9.4,167,179,150,57,187,381,=((J2^3/I2^3)+0.1)*K2*24*195*0.000001*H2,0.5,0.1,=Q2+R2*1000+S2*1000,1500,=U2-T2,=T2*179/195,=W2*M2/L2,=W2*N2/L2,=W2*O2/L2,=W2*P2/L2,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,=AI2*3.15,1162.5,451,716,548,1726.2,1162.5,451
Bulk carrier,"10,000-34,999",dwt,1197,645.118161422311,1767,27730,5988,14.8,11.4,168,179,150,57,187,381,=((J3^3/I3^3)+0.1)*K3*24*195*0.000001*H3,0.5,0.1,=Q3+R3*1000+S3*1000,3600,=U3-T3,=T3*179/195,=W3*M3/L3,=W3*N3/L3,=W3*O3/L3,=W3*P3/L3,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Bulk carrier,"35,000-59,999",dwt,2323,646.41725729718,2903,50109,8290,15.3,11.8,173,179,150,57,187,381,=((J4^3/I4^3)+0.1)*K4*24*195*0.000001*H4,0.7,0.1,=Q4+R4*1000+S4*1000,4800,=U4-T4,=T4*179/195,=W4*M4/L4,=W4*N4/L4,=W4*O4/L4,=W4*P4/L4,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Bulk carrier,"60,000-99,999",dwt,2221,1280.39105267402,3413,76753,9956,15.3,11.9,191,179,150,57,187,381,=((J5^3/I5^3)+0.1)*K5*24*195*0.000001*H5,1.1,0.3,=Q5+R5*1000+S5*1000,6800,=U5-T5,=T5*179/195,=W5*M5/L5,=W5*N5/L5,=W5*O5/L5,=W5*P5/L5,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Bulk carrier,"100,000-199,999",dwt,936,175.500280025118,1098,169752,16817,15.3,11.7,202,179,150,57,187,381,=((J6^3/I6^3)+0.1)*K6*24*195*0.000001*H6,1.1,0.2,=Q6+R6*1000+S6*1000,9800,=U6-T6,=T6*179/195,=W6*M6/L6,=W6*N6/L6,=W6*O6/L6,=W6*P6/L6,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Bulk carrier,"200,000+",dwt,342,55.4749901768276,402,247221,20252,15.7,12.2,202,179,150,57,187,381,=((J7^3/I7^3)+0.1)*K7*24*195*0.000001*H7,1.1,0.2,=Q7+R7*1000+S7*1000,12300,=U7-T7,=T7*179/195,=W7*M7/L7,=W7*N7/L7,=W7*O7/L7,=W7*P7/L7,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Chemical tanker,"0-4,999",dwt,358,687.759564368754,969,2575,1571,11.9,9.8,159,179,150,57,187,381,=((J8^3/I8^3)+0.1)*K8*24*195*0.000001*H8,0.5,0.6,=Q8+R8*1000+S8*1000,1900,=U8-T8,=T8*179/195,=W8*M8/L8,=W8*N8/L8,=W8*O8/L8,=W8*P8/L8,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Chemical tanker,"5,000-9,999",dwt,459,312.156979486827,758,7319,3196,13.4,10.6,169,179,150,57,187,381,=((J9^3/I9^3)+0.1)*K9*24*195*0.000001*H9,0.6,0.4,=Q9+R9*1000+S9*1000,2600,=U9-T9,=T9*179/195,=W9*M9/L9,=W9*N9/L9,=W9*O9/L9,=W9*P9/L9,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Chemical tanker,"10,000-19,999",dwt,670,205.412107614874,851,15208,5142,14.1,11.7,181,179,150,57,187,381,=((J10^3/I10^3)+0.1)*K10*24*195*0.000001*H10,0.6,0.4,=Q10+R10*1000+S10*1000,4000,=U10-T10,=T10*179/195,=W10*M10/L10,=W10*N10/L10,=W10*O10/L10,=W10*P10/L10,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
Chemical tanker,"20,000+",dwt,1181,460.963652004887,1607,42931,8812,15,12.3,183,179,150,57,187,381,=((J11^3/I11^3)+0.1)*K11*24*195*0.000001*H11,1.4,0.4,=Q11+R11*1000+S11*1000,6800,=U11-T11,=T11*179/195,=W11*M11/L11,=W11*N11/L11,=W11*O11/L11,=W11*P11/L11,1650,5300,0,950,6.90954712937936,3.49386226773204,716,548,1726.2,1162.5,451,716,548,1726.2,1162.5,451
